Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2008-11-14,85.07,85.07,85.07,85.07,85.07,,,,,,
2008-11-17,83.91,83.91,83.91,83.91,-1.16,,,0.0,,,
2008-11-18,83.45,83.45,83.45,83.45,-0.46,,,0.0,,,
2008-11-19,83.83,83.83,83.83,83.83,0.38,,,0.0,,,
2008-11-20,81.72,81.72,81.72,81.72,-2.11,,,0.0,,,
2008-11-21,82.63,82.63,82.63,82.63,0.91,,,0.0,,,
2008-11-24,86.44,86.44,86.44,86.44,3.81,,,0.0,,,
2008-11-25,84.56,84.56,84.56,84.56,-1.88,,,0.0,,,
2008-11-26,86.39,86.39,86.39,86.39,1.83,,,0.0,,,
2008-11-27,85.83,85.83,85.83,85.83,-0.56,,,0.0,,,
2008-11-28,86.14,86.14,86.14,86.14,0.31,,,0.0,,,
2008-12-01,82.58,82.58,82.58,82.58,-3.56,,,0.0,,,
2008-12-02,81.74,81.74,81.74,81.74,-0.84,,,0.0,,,
2008-12-03,82.17,82.17,82.17,82.17,0.43,,,0.0,,,
2008-12-04,81.2,81.2,81.2,81.2,-0.97,,,0.0,,,
2008-12-05,77.39,77.39,77.39,77.39,-3.81,,,0.0,,,
2008-12-08,78.96,78.96,78.96,78.96,1.57,,,0.0,,,
2008-12-09,75.11,75.11,75.11,75.11,-3.85,,,0.0,,,
2008-12-10,73.51,73.51,73.51,73.51,-1.6,,,0.0,,,
2008-12-11,76.0,76.0,76.0,76.0,2.49,,,0.0,,,
2008-12-12,76.67,76.67,76.67,76.67,0.67,,,0.0,,,
2008-12-15,75.04,75.04,75.04,75.04,-1.63,,,0.0,,,
2008-12-16,73.41,73.41,73.41,73.41,-1.63,,,0.0,,,
2008-12-17,72.48,72.48,72.48,72.48,-0.93,,,0.0,,,
2008-12-18,71.91,71.91,71.91,71.91,-0.57,,,0.0,,,
2008-12-19,72.19,72.19,72.19,72.19,0.28,,,0.0,,,
2008-12-22,69.41,69.41,69.41,69.41,-2.78,,,0.0,,,
2008-12-23,68.68,68.68,68.68,68.68,-0.73,,,0.0,,,
2008-12-24,65.71,65.71,65.71,65.71,-2.97,,,0.0,,,
2008-12-26,68.51,68.51,68.51,68.51,,,,0.0,,,
2008-12-29,70.12,70.12,70.12,70.12,1.61,,,0.0,,,
2008-12-30,70.01,70.01,70.01,70.01,-0.11,,,0.0,,,
2008-12-31,74.89,74.89,74.89,74.89,4.88,,,0.0,,,
2009-01-02,74.89,74.89,74.89,74.89,,,,0.0,,,
2009-01-05,75.81,75.81,75.81,75.81,0.92,,,0.0,,,
2009-01-06,75.41,75.41,75.41,75.41,-0.4,,,0.0,,,
2009-01-07,72.94,72.94,72.94,72.94,-2.47,,,0.0,,,
2009-01-08,73.03,73.03,73.03,73.03,0.09,,,0.0,,,
2009-01-09,73.48,73.48,73.48,73.48,0.45,,,0.0,,,
