,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1100,CHEMBL1242200,1500.0,nM,COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.823908740944319,361.0538222320001,6,1,3.427500000000001,True
1101,CHEMBL300817,1500.0,nM,Clc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.823908740944319,282.067224032,4,1,3.9356000000000018,True
1102,CHEMBL1813790,1500.0,nM,Nc1c2c(=O)[nH]c(-c3ccccc3)cc2nn1-c1ccccc1,5.823908740944319,302.116761068,4,2,2.963000000000001,True
1103,CHEMBL2436727,1500.0,nM,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3ncn[nH]3)c2)cc1,5.823908740944319,393.02016045200014,8,3,2.3705,True
1104,CHEMBL3113284,1530.0,nM,COc1ccc(S(=O)(=O)Nc2cc(Sc3ncnc4nc[nH]c34)c(O)c3ccccc23)cc1OC,5.815308569182401,509.082760708,9,3,4.180900000000002,True
1105,CHEMBL459850,1567.0,nM,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O,5.80493100353141,456.1521585080001,5,2,4.2147200000000025,True
1106,CHEMBL298813,1600.0,nM,CC[C@H](NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,5.795880017344075,559.26227907,4,4,3.674500000000002,True
1107,CHEMBL120069,1650.0,nM,Cc1cccc(Nc2[nH]cnc3nnc(Nc4cccc(Cl)c4)c2-3)c1,5.782516055786093,350.10467216,5,3,4.753520000000003,True
1108,CHEMBL1242029,1700.0,nM,COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.769551078621726,283.143310164,6,1,2.665,True
1109,CHEMBL1241241,1700.0,nM,CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,5.769551078621726,269.1276601,6,2,2.362,True
1111,CHEMBL58478,1700.0,nM,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,5.769551078621726,603.2521083099999,5,5,3.1293000000000006,True
1113,CHEMBL2070048,1700.0,nM,CCOc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1.Cl,5.769551078621726,383.151288004,6,1,4.630100000000003,True
1114,CHEMBL461777,1760.0,nM,CN1C(=O)/C(=C/c2ccc(/C=C/C(=O)NCc3ccncc3)s2)Oc2ccccc21,5.75448733218585,417.114712468,5,1,3.8690000000000024,True
1115,CHEMBL2408508,1770.0,nM,Cc1cccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4cc(F)ccc4F)oc3c2)n1,5.752026733638193,438.102728052,6,2,4.164720000000002,True
1117,CHEMBL1241582,1800.0,nM,CC(C)n1nc(-c2cccc(CO)c2)c2c(N)ncnc21,5.7447274948966935,283.143310164,6,2,2.1487,True
1118,CHEMBL57690,1800.0,nM,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,5.7447274948966935,248.106196384,4,1,3.2822000000000013,True
1119,CHEMBL299707,1900.0,nM,COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.721246399047171,397.15387484800004,6,2,4.5431000000000035,True
1120,CHEMBL461776,1900.0,nM,CN1C(=O)/C(=C/c2ccc(/C=C/C(=O)NCc3cccnc3)s2)Oc2ccccc21,5.721246399047171,417.114712468,5,1,3.8690000000000024,True
1121,CHEMBL1242028,1900.0,nM,CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,5.721246399047171,305.1088164760001,6,2,2.6402,True
1122,CHEMBL332333,1960.0,nM,c1ccc(Nc2nc[nH]c3nnc(Nc4ccccc4)c2-3)cc1,5.707743928643524,302.127994448,5,3,3.7917000000000014,True
1123,CHEMBL1762110,1960.0,nM,CC(=O)NC[C@H]1CC[C@H](c2nc(-c3cc4ccccc4[nH]3)c3c(N)nccn32)CC1,5.707743928643524,402.21680945200006,5,3,3.869700000000001,True
1124,CHEMBL333038,1980.0,nM,Clc1cccc(Nc2nc[nH]c3nnc(Nc4cccc(Cl)c4)c2-3)c1,5.703334809738469,370.050049744,5,3,5.0985000000000005,True
1126,CHEMBL1257423,2000.0,nM,O=C(NCCO)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,5.698970004336019,418.1252750640001,6,3,3.507900000000001,True
1127,CHEMBL1242663,2000.0,nM,CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21,5.698970004336019,338.10467216000006,6,1,3.8580000000000014,True
1128,CHEMBL1241949,2000.0,nM,CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21,5.698970004336019,319.15454354400003,7,2,2.7867999999999995,True
1129,CHEMBL1242119,2000.0,nM,Nc1ncnc2c1c(-c1ccc3occc(=O)c3c1)nn2C1CCCC1,5.698970004336019,347.13822478400004,7,1,3.2970000000000015,True
1131,CHEMBL1241775,2000.0,nM,CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21,5.698970004336019,306.13414244800003,8,1,1.9945999999999997,True
1132,CHEMBL55742,2000.0,nM,O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.698970004336019,411.1331394040001,6,3,4.232700000000002,True
1133,CHEMBL1241773,2000.0,nM,CC(=O)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,5.698970004336019,295.143310164,6,1,2.859,True
1135,CHEMBL1242288,2050.0,nM,COc1ccc(-c2nn([C@@H]3CCNC3)c3ncnc(N)c23)cc1O,5.688246138944246,326.149123816,8,3,1.3240999999999998,True
1136,CHEMBL553,2100.0,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.6777807052660805,393.16885621599994,7,1,3.405100000000002,True
1137,CHEMBL1242208,2100.0,nM,CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21,5.6777807052660805,304.143644512,6,1,3.2046,True
1138,CHEMBL1242472,2100.0,nM,CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.6777807052660805,327.169524912,7,1,3.0637000000000008,True
1140,CHEMBL3781989,2160.0,nM,c1ccc(-c2cnc3cncc(Nc4ccc(N5CCCCC5)cc4)c3n2)cc1,5.665546248849069,381.19534573600004,5,1,5.425700000000004,True
1141,CHEMBL1242758,2200.0,nM,Nc1ncnc2c1c(-c1cccc3[nH]ccc13)nn2C1CCCC1,5.657577319177793,318.159294576,5,2,3.6719000000000017,True
