,molecule_chembl_id,IC50,units,smiles,pIC50
501,CHEMBL3945312,9.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CCNC3(CC3)C2)c(-c2ccn[nH]2)c1,8.045757490560675
502,CHEMBL1171086,9.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,8.045757490560675
503,CHEMBL2403874,9.0,nM,CC(C)(C)c1cc(NC(=O)Nc2cccc(Nc3ncnc4ccccc34)c2)n(-c2cccc([N+](=O)[O-])c2)n1,8.045757490560675
504,CHEMBL4108473,9.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cnoc2)c1,8.045757490560675
505,CHEMBL4108880,9.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccc[nH]2)c1,8.045757490560675
506,CHEMBL1171281,9.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,8.045757490560675
507,CHEMBL4110559,9.0,nM,N#CC1(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cncnc2)CCC1,8.045757490560675
508,CHEMBL3954214,9.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](O)C2)c(-c2cncnc2)c1,8.045757490560675
509,CHEMBL4869280,9.03,nM,Cc1ccncc1-c1ccc2nc(NC(=O)C3CC3)sc2c1,8.044312249686495
510,CHEMBL240158,9.1,nM,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCF)CC2)n1,8.040958607678906
511,CHEMBL1169881,9.1,nM,Cc1ccc(C(=O)Nc2ccc(OC3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,8.040958607678906
512,CHEMBL3951132,9.3,nM,CC(C)(O)c1ncc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncnc1,8.031517051446064
513,CHEMBL4175086,9.4,nM,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,8.0268721464003
514,CHEMBL3953864,9.5,nM,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cccc(-c2cncnc2)c1,8.022276394711152
515,CHEMBL4874824,9.65,nM,Cc1ccncc1-c1ccc2nc(NC(=O)[C@H]3C[C@@H]3F)sc2c1.Cl.Cl,8.015472686656206
516,CHEMBL1092754,9.7,nM,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,8.013228265733755
517,CHEMBL2178276,9.83,nM,CN1CCN(Cc2ccc(NC(=O)c3ccc(F)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,8.007446482167865
518,CHEMBL3944685,9.9,nM,COc1ccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1ccc2c(c1)OCO2,8.00436480540245
519,CHEMBL2031893,10.0,nM,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,8.0
520,CHEMBL3910059,10.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(Cl)c(-c2cccnc2)c1,8.0
521,CHEMBL4115097,10.0,nM,O=C(Nc1ccc(OC(F)(F)C(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncc(F)c2)c1,8.0
522,CHEMBL376945,10.0,nM,c1csc(CNc2ccc3[nH]nc(-c4nc5cc(N6CCC(N7CCCCC7)CC6)ccc5[nH]4)c3c2)n1,8.0
523,CHEMBL2059165,10.0,nM,O=C(NCCC1CCCNC1)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,8.0
524,CHEMBL4112690,10.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2nccs2)c1,8.0
525,CHEMBL3959851,10.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CCC(O)C2)c(-c2cncnc2)c1,8.0
526,CHEMBL4108670,10.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2C[C@H](O)[C@@H](CO)C2)c(-c2cncs2)c1,8.0
527,CHEMBL4242050,10.0,nM,Cc1ccc2cc(-c3cccc(C(F)(F)F)c3)ncc2c1C#Cc1nn(C(C)C)c2ncnc(N)c12,8.0
528,CHEMBL3944291,10.0,nM,CC1(O)CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cnc(Cl)c(F)c2)C1,8.0
529,CHEMBL3932245,10.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(Cl)c(-c2cncnc2)c1,8.0
530,CHEMBL495306,10.2,nM,CN(CCO/N=C1C(=C2/C(=O)Nc3cc(Br)ccc32)/Nc2ccccc2/1)CC(O)CO.Cl,7.991399828238082
531,CHEMBL2177633,10.6,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(N)nc2)nn1,7.97469413473523
532,CHEMBL2178273,10.6,nM,Cc1ccc(C(=O)Nc2cc(-n3cncn3)cc(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,7.97469413473523
533,CHEMBL3892443,11.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC3CN(CCO)CC3C2)c(-c2cncnc2)c1,7.958607314841775
