Date,Open,High,Low,Close,Adj Close,Volume
8/22/2014,199.339996,199.690002,198.740005,199.190002,180.386368,76107000
8/25/2014,200.139999,200.589996,199.149994,200.199997,181.30101,63855000
8/26/2014,200.330002,200.820007,200.279999,200.330002,181.418716,47298000
8/27/2014,200.429993,200.570007,199.940002,200.25,181.346298,47874000
8/28/2014,199.589996,200.270004,199.389999,200.139999,181.246689,58330000
8/29/2014,200.449997,200.729996,199.820007,200.710007,181.762909,65907000
9/2/2014,200.970001,201,199.860001,200.610001,181.672318,72426000
9/3/2014,201.380005,201.410004,200.220001,200.5,181.572693,57462000
9/4/2014,200.839996,201.580002,199.660004,200.210007,181.310104,85236000
9/5/2014,200.169998,201.190002,199.410004,201.110001,182.125122,102177000
9/8/2014,200.919998,201.210007,200,200.589996,181.654205,64146000
9/9/2014,200.410004,200.550003,198.910004,199.320007,180.504135,88591000
9/10/2014,199.429993,200.199997,198.770004,200.070007,181.183319,67251000
9/11/2014,199.270004,200.330002,199.119995,200.300003,181.391602,66774400
9/12/2014,200.100006,200.119995,198.559998,199.130005,180.332031,117409300
9/15/2014,199.160004,199.320007,198.380005,198.979996,180.196198,76401000
9/16/2014,198.610001,200.839996,198.5,200.479996,181.554581,116201000
9/17/2014,200.770004,201.679993,199.75,200.75,181.799103,151266000
9/18/2014,201.360001,201.850006,201.100006,201.820007,182.768143,94990000
9/19/2014,201.520004,201.899994,200.289993,200.699997,182.603424,121649000
9/22/2014,200.350006,200.380005,198.729996,199.149994,181.193161,125553000
9/23/2014,198.429993,199.259995,197.949997,198.009995,180.15596,111393000
9/24/2014,198.039993,199.690002,197.520004,199.559998,181.566177,107276000
9/25/2014,199.039993,199.050003,196.270004,196.339996,178.636536,150300000
9/26/2014,196.699997,198.389999,196.419998,197.899994,180.055923,103547000
9/29/2014,196.199997,197.889999,196.050003,197.539993,179.728333,95112000
9/30/2014,197.690002,198.300003,196.610001,197.020004,179.255264,131302000
10/1/2014,196.699997,196.770004,193.910004,194.350006,176.825958,177798000
10/2/2014,194.179993,195.059998,192.350006,194.380005,176.853302,157285000
10/3/2014,195.679993,196.940002,195.080002,196.520004,178.800339,121569000
10/6/2014,197.339996,197.600006,195.580002,196.289993,178.591064,104778000
10/7/2014,195.279999,195.720001,193.220001,193.259995,175.834244,147913000
10/8/2014,193.369995,196.919998,192.360001,196.639999,178.909515,186461000
10/9/2014,196.330002,196.600006,192.580002,192.740005,175.36116,210705000
10/10/2014,192.690002,193.649994,190.490005,190.539993,173.359543,221909000
10/13/2014,190.460007,191.149994,187.300003,187.410004,170.511734,230939000
10/14/2014,188.419998,189.820007,187.039993,187.699997,170.775604,215847000
10/15/2014,185.160004,187.690002,181.919998,186.429993,169.620102,380715000
10/16/2014,183.059998,187.580002,182.889999,186.270004,169.474533,270391000
10/17/2014,188.419998,189.75,187.619995,188.470001,171.476212,214625000
