Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2009-04-01,108.640625,108.640625,108.640625,,,108.640625,0.0,0.0
2009-04-02,108.4921875,108.4921875,108.4921875,,,108.4921875,0.0,0.0
2009-04-03,108.296875,108.296875,108.296875,,,108.296875,0.0,0.0
2009-04-06,108.3125,108.3125,108.3125,,,108.3125,0.0,0.0
2009-04-07,108.140625,108.140625,108.140625,,,108.140625,0.0,0.0
2009-04-08,108.125,108.125,108.125,,,108.125,0.0,0.0
2009-04-09,108.078125,108.078125,108.078125,,,108.078125,0.0,0.0
2009-04-13,108.2578125,108.2578125,108.2578125,,,108.2578125,0.0,0.0
2009-04-14,108.3046875,108.3046875,108.3046875,,,108.3046875,0.0,0.0
2009-04-15,108.2890625,108.2890625,108.2890625,,,108.2890625,0.0,0.0
2009-04-16,108.1796875,108.1796875,108.1796875,,,108.1796875,0.0,0.0
2009-04-17,108.0390625,108.0390625,108.0390625,,,108.0390625,0.0,0.0
2009-04-20,108.15625,108.15625,108.15625,,,108.15625,0.0,0.0
2009-04-21,108.109375,108.109375,108.109375,,,108.109375,0.0,0.0
2009-04-22,108.0234375,108.0234375,108.0234375,,,108.0234375,0.0,0.0
2009-04-23,108.1015625,108.1015625,108.1015625,,,108.1015625,0.0,0.0
2009-04-24,108.0625,108.0625,108.0625,,,108.0625,0.0,0.0
2009-04-27,108.21875,108.21875,108.21875,,,108.21875,0.0,0.0
2009-04-28,108.125,108.125,108.125,,,108.125,0.0,0.0
2009-04-29,108.1796875,108.1796875,108.1796875,,,108.1796875,0.0,0.0
2009-04-30,108.2421875,108.2421875,108.2421875,,,108.2421875,0.0,0.0
2009-05-01,108.2109375,108.2109375,108.2109375,,,108.2109375,0.0,0.0
2009-05-04,108.0703125,108.0703125,108.0703125,,,108.0703125,0.0,0.0
2009-05-05,108.09375,108.09375,108.09375,,,108.09375,0.0,0.0
2009-05-06,107.6953125,107.6953125,107.6953125,,,107.6953125,0.0,0.0
2009-05-07,107.625,107.625,107.625,,,107.625,0.0,0.0
2009-05-08,107.6328125,107.6328125,107.6328125,,,107.6328125,0.0,0.0
2009-05-11,107.8125,107.8125,107.8125,,,107.8125,0.0,0.0
2009-05-12,107.828125,107.828125,107.828125,,,107.828125,0.0,0.0
2009-05-13,107.890625,107.890625,107.890625,,,107.890625,0.0,0.0
2009-05-14,107.921875,107.921875,107.921875,,,107.921875,0.0,0.0
